"","X1","doc_id","Date","pr_nr","pr_date","short_text","docket_nb","date","year","pr_dummy","decision_type","second_senate_dummy","chamber_decision","unanimous","sep_op","oral","bvr","bvl","bvq","bvc","bve","bvf","bvb","bvg","bvk","bvh","bvm","bvn","pbvu","bvp","unsuc_dec","uncons","hyp_time_minus","prior_attention","count","lower_co_uncons","status_quo"
"28",28,"19970311_2bvf000295.txt",19970311,NA,NA,"Einigungsvertrag betreffend die Rueckerstattung von in privatrechtlicher Rechtsform gefuehrten Unternehmen und Unternehmensbeteiligungen von Koerperschaften des oeffentlichen Rechts mit dem GG vereinbar
","2 BvF 2/95",1997-03-11 01:00:00,1997,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1997-03-01 01:00:00,0,2434,0,0
"29",29,"19970311_2bvg000395.txt",19970311,NA,NA,"Kein Anspruch der Laender gegen den Bund auf Ausstattung mit bestimmten Vermoegensgegenstaenden
","2 BvG 3/95",1997-03-11 01:00:00,1997,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1997-03-01 01:00:00,0,6227,0,0
"30",30,"19970408_1bvr004894.txt",19970408,NA,NA,"Verfassungsbeschwerde zur ueberleitung von Altschulden der Landwirtschaftlichen Produktionsgenossenschaften der DDR in die Marktwirtschaft erfolglos
","1 BvR 48/94",1997-04-08 02:00:00,1997,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-03-29 01:00:00,0,18235,0,0
"31",31,"19970410_2bvl004592.txt",19970410,NA,NA,"Verfassungsmaessigkeit der asylrechtlichen Bestimmungen ueber die raeumliche Beschraenkung der Aufenthaltsgestattung fuer Asylbewerber und ihre Strafbewehrung fuer Faelle wiederholter Zuwiderhandlung
","2 BvL 45/92",1997-04-10 02:00:00,1997,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1997-03-31 02:00:00,0,6018,1,0
"32",32,"19970410_2bvl007792.txt",19970410,NA,NA,"Zur Verfassungsmaessigkeit der Aufhebung von Arbeitnehmer- und Weihnachtsfreibetrag
","2 BvL 77/92",1997-04-10 02:00:00,1997,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-03-31 02:00:00,0,3206,0,0
"33",33,"19970430_2bvr081790.txt",19970430,NA,NA,"Verfassungsbeschwerden betreffend die sog. prozessuale ueberholung bei vollzogenen richterlichen Durchsuchungsanordnungen teilweise erfolgreich
","2 BvR 817/90",1997-04-30 02:00:00,1997,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-04-20 02:00:00,0,6048,0,0
"34",34,"19970506_1bvr040990.txt",19970506,NA,NA,"Verfassungsbeschwerde betreffend die Auskunftspflicht der Mutter ueber die Identitaet des leiblichen Vaters gegenueber dem volljaehrigen nichtehelichen Kind erfolgreich
","1 BvR 409/90",1997-05-06 02:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-04-26 02:00:00,0,3394,0,0
"35",35,"19970507_1bvr180592.txt",19970507,NA,NA,"Keine Verletzung von Grundrechten durch die Ablehnung eines Anspruchs auf Widerruf eines Werturteils
","1 BvR 1805/92",1997-05-07 02:00:00,1997,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-04-27 02:00:00,0,469,0,0
"36",36,"19970520_2bvh000195.txt",19970520,NA,NA,"Antrag auf Erstattung notwendiger Auslagen fuer das Landesorganstreitverfahren erfolglos
","2 BvH 1/95",1997-05-20 02:00:00,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1997-05-10 02:00:00,1,488,0,0
"37",37,"19970527_2bvr199292.txt",19970527,NA,NA,"Verfassungsbeschwerde betreffend die Gueltigkeitsdauer richterlicher Durchsuchungsanordnungen in strafrechtlichen Ermittlungsverfahren erfolgreich
","2 BvR 1992/92",1997-05-27 02:00:00,1997,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-05-17 02:00:00,1,4041,0,0
